Category,Volume,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Average Energy
Silence (Control),N/A,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Laughter (Control),N/A,0.001616,0.003046,0.002683,0.003012,0.002571,0.002585
Talking (Control),N/A,0.000053,0.000050,0.000062,0.000104,0.000049,0.000064
Police Siren,80%,0.020041,0.049641,0.037030,0.039680,0.037276,0.036733
Police Siren,20%,0.000341,0.000366,0.000394,0.000378,0.000361,0.000368
Ambulance Emergency Siren,80%,0.021330,0.033348,0.019920,0.068270,0.080532,0.044680
Ambulance Emergency Siren,20%,0.000354,0.000188,0.000186,0.000140,0.000143,0.000202
Fire Truck Siren,80%,0.063525,0.049620,0.049950,0.052608,0.050025,0.053146
Fire Truck Siren,20%,0.000847,0.000512,0.001502,0.001462,0.001188,0.001102
,,,,,,,
Average Energy of Siren,,,,,,,0.02270521
